version,change
Версия 1.3.2,Добавена номенклaтура CL089
Версия 1.3.2,"Добавен нов ред ""R6"" в номенклатура CL014"
Версия 1.3.2,"Добавена нова колона ""NHIF Document"" в номенклатура CL014"
Версия 1.3.2,"Добавена нова колона ""NHIF Document"" в номенклатура CL007"
Версия 1.3.2,"Коригирани всички ""Description"" данни в номенклатура CL007"
Версия 1.3.2,"Коригирани всички ""EN Translation"" данни в номенклатура CL007"
Версия 1.3.2,"Коригирани данните в ""Dose Number"" в номенклатура CL038"
Версия 1.3.2,"Коригирани данните в ""Number of Doses"" в номенклатура CL037"
Версия 1.3.2,Попълнена номенклатура CL062
Версия 1.3.2,Попълнена номенклатура CL063
Версия 1.3.2,"Добавен нов ред ""R7"" в номенклатура CL014"
