version,change,regarding vaccines
Версия 1.3.0,Добавена номенклатура CL083,false
Версия 1.3.0,"Коригирани имената на номенклатури CL012, CL022, CL024, CL025",false
Версия 1.3.0,Изцяло преработена номенкалтура CL022,false
Версия 1.3.0,Изцяло преработена номенкалтура CL024,false
Версия 1.3.0,Премахната номенклатура CL068,false
Версия 1.3.0,Добавена номенклатура CL084,false
Версия 1.3.0,Добавена номенклатура CL085,false
Версия 1.3.0,Добавена номенклатура CL086,false
Версия 1.3.0,Добавена номенклатура CL087,false
Версия 1.3.0,Изцяло преработена номенклатура CL037,true
Версия 1.3.0,Актуализирана номенклатура CL038,true
Версия 1.3.0,"Добавена колона ""Vaccine Group"" в номенклатура CL037",true
Версия 1.3.0,"Добавена колона ""Dose Number"" в номенклатура CL038",true
Версия 1.3.0,Добавена номенклатура CL088,false
Версия 1.3.0,"Добавена колона ""Offset Allowed"" в номенклатура CL034",false
Версия 1.3.0,"Коригирани описания ""Description"" на всички редове в номенклатура CL013",false
Версия 1.3.0,"Коригирани описания ""Description"" на всички редове в номенклатура CL034",false
Версия 1.3.0,"Добавена колона ""Medicament Details"" в номенклатура CL037",true
Версия 1.3.0,"Премахната колона ""Language EN"" в номенклатура CL038",true
